Date,Name,Source/Recipient,Reference,Amount
"2021-02-01","","0x049C7f5322D05383C0367C88ecbedd05b4Bb7fa9","donacion","+2 ETH"
"2021-01-31","","0xCD4046B428dDeac3F01b04895DF9DbBc8BD633c9","mi donación","+2 ETH"
"2021-01-30","","0xb2F28F45403eAdCA11654De0deaf4F8604eA9184","donacion","+1.4 ETH"
"2021-01-30","","0x7B06dae5d20F2985429d3883b9a0Aa9687995dC9","","+1.45 ETH"
"2021-01-26","","0xF476b5DAA18ff98650C99771d807F23A7A5eaF5e","Donacion","+3 ETH"
"2021-01-26","","0x049C7f5322D05383C0367C88ecbedd05b4Bb7fa9","primeradonacion","+5 ETH"
"2021-01-24","","0x1f8f616f09671B68446de1f6EfCBD991DF6c62c3","A little support, friends","+1.1 ETH"
"2021-01-24","","0x290e73C26938C6a8C4BB045145Da6FAC9fAaeDa4","","+1 ETH"
"2021-01-24","","0xf1809994D441E7dC2d0b19FD6A16FCc2c46B064d","","+1 ETH"
"2021-01-24","","0x05903afFd45DA43a14F9A9421605E0e7A4fe2e21","donation jb","+1 ETH"
"2021-01-24","","0x9DFC2AEd70597a0c4C8ebf3A2d5A7E91F931D981","","+1 ETH"
"2021-01-24","","0x847eC9Ab99DD27ae2d3c9c0C0b25bA841aeD26aA","Donation","+1 ETH"
"2021-01-24","","0x67BB8AEA3EfE7EfC3a00DFfB6259949e46F8be14","donacion","+1 ETH"
"2021-01-24","","0x280d9073b1F896411afeAE2791F4354FF07bd951","donation 1","+2 ETH"
"2021-01-24","","0x94db828F971919dff4097E0D8970329CA5B95c1f","Donacion","+1.76 ETH"
"2021-01-21","","0x5289CBf7AFA41e192AF2F86d35e7e537f71E2977","","+1 ETH"
"2021-01-21","","0xF94A4825B37aba496CDd381eA6f09fD7E2Bc4C25","Donacion","+1 ETH"
"2021-01-21","","0x3eC269Fa04127D2a9f6C37D2461eb3442373483c","","+1 ETH"
"2021-01-03","","0x5289CBf7AFA41e192AF2F86d35e7e537f71E2977","","+3 ETH"
"2020-12-31","","0xA99F898530dF1514A566f1a6562D62809e99557D","","+6.66 ETH"
"2020-12-31","","0xEC4A914814710b5A842320A2124E03B2FB87a6E3","Donacion 2","+1 ETH"
"2020-12-31","","0xEC4A914814710b5A842320A2124E03B2FB87a6E3","Donacion","+5 ETH"
"2020-12-31","","0x2418e5454B75e18a2C7a849aeCCFCD03f67731C3","","+1 ETH"
"2020-12-28","","0x1021e61f2cDd8bB295b0e64A20eBB7D8ec3734bf","","+1 ETH"
"2020-12-28","","0xFc7eD528610A84C3400878AD995A5202A147b5b7","","+1 ETH"
"2020-12-28","","0xFc367FeA7D6Bd4da270f9D5d79d8bCaB078d4162","","+1 ETH"
"2020-12-28","","0x1A59fF6aD0Ba633076236073015Cbfe70BBbd801","","+6 ETH"
"2020-12-27","","0xCEDdf9eE6A6Dc59Fc29670e178eAc9aDAE4f92e7","apoyo","+5 ETH"
"2020-12-26","","0x1A59fF6aD0Ba633076236073015Cbfe70BBbd801","","+7 ETH"
"2020-12-26","","0xaDa4389661B5aa5756636Ca7D3C051C3D04EdabB","","+54 ETH"